; Sample Caixa bank statement export - For testing purposes only
; This file contains mock data and should not be used with real financial information
; Generated for caixa2bean testing

; Header information
; MOVIMIENTOS DESDE : 01/01/2025 HASTA: 31/12/2025

; Column headers (simplified for readability)
; Número de cuenta,Oficina,Divisa,Fecha operación,Fecha valor,Importe ingreso,Importe gasto,Saldo,Concepto común,Concepto propio,Referencia 1,Referencia 2,Concepto complementario 1,Concepto complementario 2,Concepto complementario 3,Concepto complementario 4,Concepto complementario 5,Concepto complementario 6,Concepto complementario 7,Concepto complementario 8,Concepto complementario 9,Concepto complementario 10

; Sample transactions
1234 5678 90 1234567890,9999,EUR,31/12/2025,31/12/2025,,15.50,84.50,12,040,000000000000,1234567890123456,GAS STATION EXAMPLE,,,,,,,04000022SIO,COMPRA CON TARJETA,
1234 5678 90 1234567890,9999,EUR,30/12/2025,30/12/2025,500.00,,584.50,01,050,000000000000,REF002,SALARY PAYMENT,,,,,,,,INGRESO NOMINA,
1234 5678 90 1234567890,9999,EUR,29/12/2025,29/12/2025,,25.75,84.50,12,040,000000000000,1234567890123456,SUPERMARKET EXAMPLE,,,,,,,,,,COMPRA CON TARJETA,
1234 5678 90 1234567890,9999,EUR,28/12/2025,28/12/2025,,12.30,72.20,12,040,000000000000,1234567890123456,CAFE EXAMPLE,,,,,,,,,,COMPRA CON TARJETA,
